Comments Number;Translated Comments;ORIGINE   Topic 01=Green apple and Citrus notes;EXTREMITE    Topic 01=Green apple and Citrus notes;ORIGINE   Topic 02 = Brioche and yeast characteristics;EXTREMITE    Topic 02 = Brioche and yeast characteristics;ORIGINE   Topic 03 = High acidity and freshness;EXTREMITE     Topic 03 = High acidity and freshness;ORIGINE   topic 04 = Fine and creamy bubbles;EXTREMITE     topic 04 = Fine and creamy bubbles;ORIGINE   Topic 05 = Complex & Balanced Flavour;EXTREMITE     Topic 05 = Complex & Balanced Flavour;ORIGINE   Topic 06 = Too Sweet or Lack of acidity;EXTREMITE     Topic 06 = Too Sweet or Lack of acidity;ORIGINE   Topic 07 = Short Finish or Insufficient length;EXTREMITE     Topic 07 = Short Finish or Insufficient length;Topol_ranking
3;Informal mixed wine tasting event in Oslo. Not enough time for detailed tasting notes. Quite good Champagne. Smooth, juicy, and rich. Ripe green fruit of baked apples, white peach, and apricot. Mature citrus and lemon zest. Soft minerality and light autolysis, bread yeast, and pastry. Medium+ concentration, good intensity, acidity, and mousse. Long finish. Delicate, affordable, and worth your penny.;0,9;-0,3;0,7;-0,4;0,7;-0,3;0;-0,2;0,7;-0,3;0;0;0;0;1
45;A vital and sophisticated Blanc de Blanc Champagne that delivers citrus and brioche notes with high laser acidity, which tells champagne from other sparkling wines. 7g/L dosage, harvest in 2015, disgorgement in November 2021. Pale yellow color. Gas evidence. Developing nose/mouth of white peach, lemon, apple, pear, biscuit, brioche, nutty, smoke, wet stone. Brut, medium body, high laser acidity, medium alcohol (12.5%), multiflavored, long finish, high complexity. Can drink now, but has potential for aging.;0,8;-0,4;0,7;-0,4;0,7;-0,3;0,8;-0,2;0,7;-0,3;0;0;0;0;2
11;Lanson Le Blanc de Blancs 44 100% Chardonnay. Dosage: 7g/l. Disgorgement: 05 January 2021. Bouquet and taste: on the nose - a light creamy bun and flowers. On the palate - a green apple and a lemon that develops into a Domelo. Lemon juice, to our taste. Perhaps the bottle is just too young.;0,7;-0,3;0;0;0,7;-0,4;0;0;0;0;0;0;0;0;3
41;Organic wine tasting #1. Nice light foam on the surface, fresh, light vanilla, round, no malolactic fermentation, just stainless steel. Green peach.;0,8;-0,3;0;0;0,7;-0,4;0;0;0,8;-0,4;0;0;0;0;4
19;Green apple, brioche, citrus, cream, lemon, yeast, apple, fresh bread.;0,7;-0,3;0,8;-0,4;0,7;-0,2;0;0;0;0;0;0;0;0;5
23;Not my favorite, a bit too much plum or something that takes away from the sparkle.;0;0;0;0;0,7;-0,4;0;0;0,8;-0,4;0;0;0;0;6
27;Really lovely Blanc de Blancs at a great price. Richness and fat from almond and brioche flavors and bright gooseberry acidity.;0;0;0,7;-0,4;0,7;-0,1;0;-0,2;0,8;-0,3;0;0;0;0;7
24;"One of the finest champagnes for its price point; elegant and full of flavor. Has become my go-to champagne.";0;0;0;0;0;0;0;-0,3;0,8;-0,3;0;0;0;0;8
16;Very nice. Green apple and brioche. Gentle mousse, with rounded flavors and a long finish.;0,7;-0,3;0,8;-0,4;0;0;0,8;-0,3;0;0;0;0;0,7;-0,2;9
9;On the nose green apple, grapes, citrus, dried fruit, nougat, and brioche. Very fresh, well-integrated bubbles and medium finish. Would like to see more acidity to balance off sweet notes.;0,9;-0,3;0,7;-0,4;0,7;-0,1;0;-0,2;0;0;0,8;-0,4;0;0;10
48;Crisp and refreshing with dominant notes of green apple, citrus, and a hint of brioche. Well-balanced acidity and a smooth finish make this an excellent choice for any occasion.;0,8;-0,3;0,7;-0,4;0,8;-0,3;0;0;0;0;0;0;0;0;11
29;Pale lemon in color, pronounced on the nose with a smell of brioche, green apple, lemon, toast, yellow apple, apricot, honey. Dry, high acidity, creamy mousse, and medium-bodied. Taste of apple, toast, lemon, brioche, cream, honey, peach. Well balanced, medium+ complexity and finish.;0,8;-0,2;0,9;-0,2;0,7;-0,4;0,7;-0,3;0,7;-0,4;0;0;0;0;12
14;Another bit more Wimbledon action. 15 Crus. 7g/l dosage. 40% reserve wines (2014 is the rest). 5 years on lees. Pale lemon with golden hue. Nose is pronounced, needs a bit of air first, lots of baked apple, rye bread crust, almonds, caramel, and cream. Palate is pronounced with lots of candied lemon, candied lime, crunch lemon slices, touch of ginger, more bready notes. Dry, high (really high) acidity, medium body and alcohol. Not bad.;0,7;-0,3;0,9;-0,2;0,9;-0,4;0,6;-0,4;0;0;0;0;0;0;13
43;Nice pale yellow color. Citrus, green apple, cream, and brioche on the nose. Nothing to fault. It is a refreshing and good to drink BdB champagne.;0,8;-0,3;0,8;-0,4;0,7;-0,2;0;0;0;0;0;0;0;0;14
